timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727797353.069931,62768.95,62768.9,62769.0,500,500,"(0.983124593935967, 1727797346.361778)","(0.9845458058199014, 1727797346.013762)","(0.009039327645763654, 1727797325.788667)","(61700.0, 17.976)","(63873.0, 16.0)",69,2.24822916
1727797383.642671,62714.45,62714.4,62714.5,500,500,"(0.3625616640992858, 1727797379.900107)","(0.3625616640992858, 1727797379.900107)","(-0.006187385059069379, 1727797373.531633)","(61700.0, 17.976)","(63873.0, 16.0)",29,3.7711326800000005
1727797415.5726044,62761.95,62761.9,62762.0,500,500,"(0.9624624236191683, 1727797403.786639)","(0.9624624236191683, 1727797403.786639)","(-0.01112932691172208, 1727797398.878999)","(61700.0, 17.976)","(63873.0, 16.0)",20,2.57599316
1727797446.075492,62761.95,62761.9,62762.0,500,500,"(-0.9990467595558445, 1727797444.836963)","(-0.0003066067687859347, 1727797429.402567)","(-0.9995233797779223, 1727797440.322383)","(61700.0, 17.976)","(63873.0, 16.0)",5,0.32615066
1727797476.617448,62669.05,62669.0,62669.1,500,500,"(0.8858611618961565, 1727797476.072876)","(0.8858611618961565, 1727797476.072876)","(-0.010626031827797176, 1727797446.516491)","(61700.0, 17.976)","(63873.0, 16.0)",20,0.18946960000000002
1727797507.155193,62671.649999999994,62671.6,62671.7,500,500,"(0.8057036309736414, 1727797501.581358)","(0.8057036309736414, 1727797501.581358)","(-0.0748193081378464, 1727797483.973468)","(61700.0, 17.976)","(63873.0, 16.0)",17,0.3211876799999999
1727797537.8836265,62692.55,62692.5,62692.6,500,500,"(-0.8864948438939665, 1727797527.235856)","(0.05675257805301673, 1727797525.041402)","(-0.8864948438939665, 1727797527.235856)","(61700.0, 17.976)","(63873.0, 16.0)",17,1.37821739
1727797568.5308793,62749.75,62749.7,62749.8,500,500,"(0.4240492747472626, 1727797567.610829)","(0.42409776014760087, 1727797558.284928)","(-0.28788546712395785, 1727797546.59124)","(61732.600000000006, 17.061)","(63873.0, 16.0)",25,17.366052339999996
1727797599.0043805,62673.25,62673.2,62673.3,500,500,"(0.29983363121455103, 1727797596.037865)","(0.5493107859159407, 1727797592.117814)","(0.05598000631730529, 1727797577.637223)","(61610.0, 19.5)","(63600.0, 17.594)",19,0.04077688
1727797629.4839444,62631.25,62631.2,62631.3,500,500,"(-0.948813777772598, 1727797628.579448)","(-0.0011918933518266514, 1727797600.6704)","(-0.948813777772598, 1727797628.579448)","(61610.0, 19.5)","(63600.0, 17.594)",15,1.19094548
1727797660.2428992,62664.25,62664.2,62664.3,500,500,"(-0.2922386416577825, 1727797647.690055)","(0.3538806791711088, 1727797634.524919)","(-0.2922386416577825, 1727797647.690055)","(62628.0, 18.903)","(63873.0, 16.0)",23,0.6279448499999999
1727797690.8613062,62686.45,62686.4,62686.5,500,500,"(-0.927125326359068, 1727797686.91556)","(-0.9233151803915843, 1727797686.085435)","(-0.9597525172120502, 1727797662.500529)","(62686.0, 17.19)","(63873.0, 16.0)",8,0.10498023000000001
1727797721.3585298,62675.850000000006,62675.8,62675.9,500,500,"(0.9917333619286224, 1727797707.24331)","(0.9958666809643112, 1727797706.367908)","(0.021678088534913875, 1727797696.642362)","(61700.0, 17.976)","(63873.0, 16.0)",7,0.025645249999999998
1727797752.0326166,62675.850000000006,62675.8,62675.9,500,500,"(1.0, 1727797733.593864)","(1.0, 1727797733.593864)","(1.0, 1727797733.593864)","(61732.600000000006, 17.061)","(63873.0, 16.0)",1,0.00809059
1727797782.643523,62675.850000000006,62675.8,62675.9,500,500,"(1.0, 1727797779.147053)","(1.0, 1727797779.147053)","(0.0005176707405179615, 1727797754.571543)","(62675.600000000006, 22.6)","(63873.0, 16.0)",5,1.0052142400000001
1727797813.3228545,62675.850000000006,62675.8,62675.9,500,500,"(1.0, 1727797810.273273)","(1.0, 1727797810.273273)","(1.0, 1727797810.273273)","(62599.0, 18.075)","(63873.0, 16.0)",1,0.0005
1727797843.8004954,62675.850000000006,62675.8,62675.9,500,500,"(0.7474504185181197, 1727797836.721592)","(0.8737252092590599, 1727797830.658596)","(0.09334460202930174, 1727797818.676941)","(62426.8, 20.078)","(62676.0, 22.933)",3,0.0640713
1727797874.5044188,62675.850000000006,62675.8,62675.9,500,500,"(-0.4296024193180391, 1727797870.344651)","(0.28130930262820086, 1727797864.076272)","(-0.4296024193180391, 1727797870.344651)","(61732.600000000006, 17.061)","(63873.0, 16.0)",11,1.83798241
